"","IDs","Passagers","Jour","Heure","nb","prix_moyen"
"48",195,2,NA,NA,1,0.00688559322033898
"49",196,2,NA,NA,2,0.013771186440678
"50",197,1,NA,NA,1,0.56005076142132
"51",198,1,NA,NA,3,0.563224538736616
"52",199,1,NA,NA,2,0.0126951092611863
"53",199,2,NA,NA,3,0.505447470817121
"54",203,1,NA,NA,1,0.393081761006289
"55",204,1,NA,NA,4,0.417055298097571
"56",205,1,NA,NA,5,0.017621348988826
"57",207,1,NA,NA,6,0.162344704095533
"58",208,1,NA,NA,2,0.0046625093362866
"59",208,2,NA,NA,2,0.0144411473788328
"60",209,1,NA,NA,2,0.595238095238095
"61",209,2,NA,NA,3,0.00611529686474829
"62",210,1,NA,NA,1,0.00898082744702321
"63",210,2,NA,NA,1,0.00250501002004008
"64",211,1,NA,NA,8,0.0190317383025527
"65",212,1,NA,NA,14,0.0136133701903647
"66",213,1,NA,NA,8,0.0217383382172646
"67",214,1,NA,NA,8,0.018774118744306
"68",214,4,NA,NA,1,0.00370741482965932
"69",215,1,NA,NA,4,0.0154165483033244
"70",215,4,NA,NA,2,0.00741482965931864
"71",219,1,NA,NA,2,0.00715667311411992
"72",220,1,NA,NA,1,0.00357833655705996
"73",221,1,NA,NA,3,0.0301092759306016
"74",222,1,NA,NA,3,0.051077692720344
"75",225,1,NA,NA,1,0.0111549851924975
"76",226,1,NA,NA,2,0.0223099703849951
"77",231,1,NA,NA,2,0.00971922246220302
"78",232,1,NA,NA,1,0.00485961123110151
"79",236,2,NA,NA,2,0.0778024417314095
"80",254,1,NA,NA,1,0.0768595041322314
"81",255,1,NA,NA,2,0.153719008264463
"82",280,1,NA,NA,2,1.48333333333333
"83",284,3,NA,NA,3,0.147810218978102
"84",298,1,NA,NA,1,0.320754716981132
"85",299,1,NA,NA,1,0.320754716981132
"86",300,1,NA,NA,3,0.865384615384615
"87",326,1,NA,NA,2,0.510769230769231
"88",332,1,NA,NA,3,1.3365371024735
"89",335,1,NA,NA,3,1.30741935483871
"90",339,1,NA,NA,2,0.479872204472843
"91",345,1,NA,NA,4,0.773615290808599
"92",346,1,NA,NA,3,0.192774193548387
"93",347,6,NA,NA,2,0.00332963374028857
"94",348,1,NA,NA,2,0.770742358078603
"95",361,1,NA,NA,2,0.0134715025906736
"96",361,3,NA,NA,2,0.0146953405017921
"97",362,1,NA,NA,2,0.15531914893617
"98",363,5,NA,NA,2,1.25301587301587
"99",364,5,NA,NA,1,0.626507936507936
"100",371,1,NA,NA,2,0.609865470852018
"101",381,1,NA,NA,4,0.476398601398601
"102",382,5,NA,NA,2,0.414632352941176
"103",383,1,NA,NA,2,0.344
"104",386,1,NA,NA,7,0.634134741075918
"105",387,3,NA,NA,2,0.391582278481013
"106",388,2,NA,NA,2,1.62
"107",389,1,NA,NA,2,0.224474085365854
"108",390,1,NA,NA,2,0.224474085365854
"109",391,1,NA,NA,2,0.457407407407407
"110",394,1,NA,NA,2,0.10703125
"111",396,1,NA,NA,2,0.476190476190476
"112",400,1,NA,NA,4,0.293943264764433
"113",405,2,NA,NA,2,1.23839009287926
"114",407,3,NA,NA,2,0.577546012269939
"115",410,1,NA,NA,2,0.895654596100279
"116",412,1,NA,NA,2,0.555555555555556
"117",417,1,NA,NA,4,0.68170502700457
"118",419,1,NA,NA,2,0.559206798866856
"119",424,1,NA,NA,2,1.41456953642384
"120",428,1,NA,NA,4,0.539499058380414
"121",429,1,NA,NA,2,0.269749529190207
"122",430,1,NA,NA,2,0.667515923566879
"123",430,2,NA,NA,1,0.00688559322033898
"124",431,2,NA,NA,2,0.013771186440678
"125",433,1,NA,NA,3,0.563224538736616
"126",434,1,NA,NA,2,0.0126951092611863
"127",434,2,NA,NA,3,0.505447470817121
"128",439,1,NA,NA,6,0.308113077156163
"129",440,1,NA,NA,4,0.149012681550668
"130",442,1,NA,NA,4,0.00932501867257321
"131",443,1,NA,NA,4,0.159236364538008
"132",443,2,NA,NA,3,0.0216617210682493
"133",444,1,NA,NA,3,0.892857142857143
"134",444,2,NA,NA,2,0.00501002004008016
"135",445,1,NA,NA,1,0.00898082744702321
"136",445,2,NA,NA,1,0.00250501002004008
"137",446,1,NA,NA,8,0.0243612843015143
"138",447,1,NA,NA,13,0.0123424058297777
"139",448,1,NA,NA,9,0.0195211677219775
"140",449,1,NA,NA,7,0.0171649233420071
"141",449,4,NA,NA,2,0.00741482965931864
"142",450,1,NA,NA,4,0.0154165483033244
"143",450,4,NA,NA,1,0.00370741482965932
"144",451,1,NA,NA,1,0.00877712031558186
"145",454,1,NA,NA,2,0.00715667311411992
"146",455,1,NA,NA,1,0.00357833655705996
"147",456,1,NA,NA,1,0.00609390609390609
"148",457,1,NA,NA,3,0.051077692720344
"149",460,1,NA,NA,1,0.0111549851924975
"150",461,1,NA,NA,2,0.0223099703849951
"151",466,1,NA,NA,2,0.00971922246220302
"152",467,1,NA,NA,1,0.00485961123110151
"153",471,2,NA,NA,2,0.0778024417314095
"154",472,2,NA,NA,1,0.0389012208657048
"155",489,1,NA,NA,3,0.230578512396694
"156",490,1,NA,NA,1,0.0768595041322314
"157",516,1,NA,NA,2,1.48333333333333
"158",520,3,NA,NA,1,0.0492700729927007
"159",521,3,NA,NA,1,0.0492700729927007
"160",535,1,NA,NA,3,0.962264150943396
"161",536,1,NA,NA,2,0.576923076923077
"162",563,1,NA,NA,3,0.766153846153846
"163",569,1,NA,NA,3,1.3365371024735
"164",572,1,NA,NA,2,0.871612903225806
"165",575,1,NA,NA,2,0.479872204472843
"166",581,1,NA,NA,4,0.773615290808599
"167",582,1,NA,NA,1,0.064258064516129
"168",583,1,NA,NA,1,0.064258064516129
"169",583,6,NA,NA,2,0.00332963374028857
"170",584,1,NA,NA,2,0.770742358078603
"171",597,1,NA,NA,2,0.0134715025906736
"172",597,3,NA,NA,2,0.0146953405017921
"173",598,1,NA,NA,2,0.15531914893617
"174",598,5,NA,NA,1,0.626507936507936
"175",599,5,NA,NA,1,0.626507936507936
"176",607,1,NA,NA,2,0.609865470852018
"177",617,1,NA,NA,4,0.476398601398601
"178",618,1,NA,NA,1,0.172
"179",618,5,NA,NA,2,0.414632352941176
"180",619,1,NA,NA,3,0.269406113537118
"181",620,4,NA,NA,2,0.445649717514124
"182",621,1,NA,NA,2,0.372352941176471
"183",622,1,NA,NA,3,0.550564102564103
"184",623,1,NA,NA,1,0.214461538461538
"185",623,2,NA,NA,4,1.29714285714286
"186",623,3,NA,NA,2,0.391582278481013
"187",625,1,NA,NA,4,0.448948170731707
"188",627,1,NA,NA,2,0.457407407407407
"189",629,1,NA,NA,1,0.053515625
"190",630,1,NA,NA,1,0.053515625
"191",632,1,NA,NA,2,0.476190476190476
"192",635,1,NA,NA,2,0.0340909090909091
"193",636,1,NA,NA,2,0.553795620437956
"194",640,2,NA,NA,2,1.23839009287926
"195",641,2,NA,NA,1,0.619195046439629
"196",643,3,NA,NA,2,0.577546012269939
"197",646,1,NA,NA,2,0.895654596100279
"198",647,1,NA,NA,3,0.833333333333333
"199",653,1,NA,NA,2,0.882168674698795
"200",654,1,NA,NA,3,0.380422389371886
"201",655,1,NA,NA,2,0.559206798866856
"202",660,1,NA,NA,3,2.12185430463576
"203",663,1,NA,NA,3,0.391193973634652
"204",664,1,NA,NA,2,0.269749529190207
"205",665,2,NA,NA,2,0.013771186440678
"206",666,1,NA,NA,2,0.667515923566879
"207",666,2,NA,NA,1,0.00688559322033898
"208",668,1,NA,NA,1,0.00634755463059313
"209",669,1,NA,NA,4,0.566398316051913
"210",669,2,NA,NA,3,0.505447470817121
"211",674,1,NA,NA,3,0.0102731061773244
"212",675,1,NA,NA,7,0.414736035230502
"213",677,1,NA,NA,5,0.0117009426430062
"214",678,1,NA,NA,1,0.00457317073170732
"215",678,2,NA,NA,3,0.0216617210682493
"216",679,1,NA,NA,3,0.38300156128025
"217",679,2,NA,NA,3,0.00751503006012024
"218",680,1,NA,NA,3,0.157790351256547
"219",681,1,NA,NA,9,0.021105246096109
"220",682,1,NA,NA,12,0.0128768184016441
"221",683,1,NA,NA,8,0.0218265918832252
"222",684,1,NA,NA,7,0.0171649233420071
"223",684,4,NA,NA,2,0.00741482965931864
"224",685,1,NA,NA,5,0.0129596912060477
"225",685,4,NA,NA,1,0.00370741482965932
"226",686,1,NA,NA,1,0.00877712031558186
"227",689,1,NA,NA,2,0.00715667311411992
"228",691,1,NA,NA,1,0.00609390609390609
"229",692,1,NA,NA,5,0.0781400156039925
"230",696,1,NA,NA,2,0.0223099703849951
"231",701,1,NA,NA,2,0.00971922246220302
"232",702,1,NA,NA,1,0.00485961123110151
"233",706,2,NA,NA,1,0.0389012208657048
"234",707,2,NA,NA,1,0.0389012208657048
"235",752,1,NA,NA,1,0.741666666666667
"236",753,1,NA,NA,1,0.741666666666667
"237",757,3,NA,NA,2,0.0985401459854015
"238",758,3,NA,NA,1,0.0492700729927007
"239",772,1,NA,NA,2,0.641509433962264
"240",773,1,NA,NA,2,0.576923076923077
"241",799,1,NA,NA,2,0.510769230769231
"242",806,1,NA,NA,2,0.891024734982332
"243",808,1,NA,NA,1,0.435806451612903
"244",809,1,NA,NA,2,0.871612903225806
"245",811,1,NA,NA,2,0.479872204472843
"246",817,1,NA,NA,4,0.773615290808599
"247",819,1,NA,NA,2,0.128516129032258
"248",819,6,NA,NA,2,0.00332963374028857
"249",820,1,NA,NA,2,0.770742358078603
"250",833,1,NA,NA,2,0.0134715025906736
"251",833,3,NA,NA,2,0.0146953405017921
"252",833,5,NA,NA,1,0.626507936507936
"253",834,1,NA,NA,2,0.15531914893617
"254",834,5,NA,NA,2,1.25301587301587
"255",842,1,NA,NA,1,0.304932735426009
"256",843,1,NA,NA,1,0.304932735426009
"257",852,1,NA,NA,1,0.338636363636364
"258",853,1,NA,NA,3,0.30708041958042
"259",853,5,NA,NA,2,0.414632352941176
"260",854,1,NA,NA,4,0.355406113537118
"261",855,4,NA,NA,2,0.445649717514124
"262",856,1,NA,NA,2,0.184278125900317
"263",857,1,NA,NA,3,0.269147485080989
"264",858,1,NA,NA,3,0.526304347826087
"265",858,2,NA,NA,1,0.164285714285714
"266",859,1,NA,NA,2,0.428923076923077
"267",859,2,NA,NA,2,0.487142857142857
"268",860,1,NA,NA,1,0.191875
"269",860,3,NA,NA,2,0.391582278481013
"270",861,1,NA,NA,4,0.448948170731707
"271",863,1,NA,NA,2,0.457407407407407
"272",865,1,NA,NA,2,0.10703125
"273",867,1,NA,NA,3,0.714285714285714
"274",870,1,NA,NA,1,0.0170454545454545
"275",871,1,NA,NA,2,0.0340909090909091
"276",872,1,NA,NA,2,0.553795620437956
"277",876,2,NA,NA,2,1.23839009287926
"278",879,3,NA,NA,2,0.577546012269939
"279",882,1,NA,NA,3,0.586716186939028
"280",883,1,NA,NA,1,0.277777777777778
"281",888,1,NA,NA,3,1.32325301204819
"282",890,1,NA,NA,4,0.5202240890886
"283",896,1,NA,NA,2,1.41456953642384
"284",898,1,NA,NA,2,0.269749529190207
"285",899,1,NA,NA,3,0.41805461393597
"286",900,2,NA,NA,2,0.013771186440678
"287",901,2,NA,NA,1,0.00688559322033898
"288",902,1,NA,NA,2,0.667515923566879
"289",903,1,NA,NA,2,0.0126951092611863
"290",904,1,NA,NA,3,0.563224538736616
"291",904,2,NA,NA,2,0.336964980544747
"292",909,1,NA,NA,3,0.0102731061773244
"293",910,1,NA,NA,6,0.308300391666145
"294",911,1,NA,NA,3,0.62228345476057
"295",912,1,NA,NA,6,0.0139875280088598
"296",913,2,NA,NA,3,0.0216617210682493
"297",914,2,NA,NA,3,0.00751503006012024
"298",915,1,NA,NA,6,0.360527941691198
"299",916,1,NA,NA,9,0.021105246096109
"300",917,1,NA,NA,13,0.0135341365436249
"301",918,1,NA,NA,9,0.0270372812642811
"302",919,1,NA,NA,5,0.0188666489393672
"303",919,4,NA,NA,1,0.00370741482965932
"304",920,1,NA,NA,5,0.0129596912060477
"305",920,4,NA,NA,1,0.00370741482965932
"306",921,1,NA,NA,1,0.00877712031558186
"307",924,1,NA,NA,2,0.00715667311411992
"308",925,1,NA,NA,1,0.00357833655705996
"309",926,1,NA,NA,1,0.00609390609390609
"310",927,1,NA,NA,5,0.0781400156039925
"311",931,1,NA,NA,3,0.0334649555774926
"312",936,1,NA,NA,2,0.00971922246220302
"313",941,2,NA,NA,1,0.0389012208657048
"314",942,2,NA,NA,2,0.0778024417314095
"315",989,1,NA,NA,2,1.48333333333333
"316",994,3,NA,NA,2,0.0985401459854015
"317",995,3,NA,NA,1,0.0492700729927007
"318",1008,1,NA,NA,1,0.320754716981132
"319",1009,1,NA,NA,4,0.609216255442671
"320",1035,1,NA,NA,1,0.255384615384615
"321",1036,1,NA,NA,1,0.255384615384615
"322",1042,1,NA,NA,1,0.445512367491166
"323",1043,1,NA,NA,2,0.891024734982332
"324",1045,1,NA,NA,1,0.435806451612903
"325",1046,1,NA,NA,1,0.435806451612903
"326",1047,1,NA,NA,2,0.479872204472843
"327",1053,1,NA,NA,4,0.773615290808599
"328",1055,1,NA,NA,1,0.064258064516129
"329",1055,6,NA,NA,2,0.00332963374028857
"330",1056,1,NA,NA,3,0.417500211297366
"331",1069,1,NA,NA,2,0.0134715025906736
"332",1069,3,NA,NA,2,0.0146953405017921
"333",1069,5,NA,NA,2,1.25301587301587
"334",1070,1,NA,NA,2,0.15531914893617
"335",1078,1,NA,NA,2,0.609865470852018
"336",1088,1,NA,NA,2,0.677272727272727
"337",1089,1,NA,NA,2,0.275524475524476
"338",1089,5,NA,NA,2,0.414632352941176
"339",1090,1,NA,NA,4,0.355406113537118
"340",1091,4,NA,NA,2,0.445649717514124
"341",1092,1,NA,NA,5,0.295193272969785
"342",1092,2,NA,NA,2,0.335510204081633
"343",1093,1,NA,NA,8,0.48989487015542
"344",1094,2,NA,NA,2,0.328571428571429
"345",1095,1,NA,NA,2,0.428923076923077
"346",1096,1,NA,NA,2,0.38375
"347",1096,3,NA,NA,2,0.391582278481013
"348",1097,1,NA,NA,2,0.514146341463415
"349",1099,1,NA,NA,1,0.228703703703704
"350",1100,1,NA,NA,1,0.228703703703704
"351",1101,1,NA,NA,2,0.10703125
"352",1102,1,NA,NA,1,0.238095238095238
"353",1103,1,NA,NA,1,0.238095238095238
"354",1104,1,NA,NA,2,0.394594594594595
"355",1106,1,NA,NA,2,0.0340909090909091
"356",1108,1,NA,NA,2,0.553795620437956
"357",1111,2,NA,NA,2,1.23839009287926
"358",1115,3,NA,NA,2,0.577546012269939
"359",1118,1,NA,NA,4,0.725605075827917
"360",1123,1,NA,NA,2,0.882168674698795
"361",1125,1,NA,NA,3,0.838810198300283
"362",1126,1,NA,NA,2,0.481241379310345
"363",1131,1,NA,NA,1,0.707284768211921
"364",1132,1,NA,NA,1,0.707284768211921
"365",1133,1,NA,NA,3,0.391193973634652
"366",1134,1,NA,NA,3,0.41805461393597
"367",1135,2,NA,NA,2,0.013771186440678
"368",1136,2,NA,NA,1,0.00688559322033898
"369",1138,1,NA,NA,4,0.340105516414033
"370",1139,1,NA,NA,1,0.00634755463059313
"371",1139,2,NA,NA,2,0.336964980544747
"372",1140,1,NA,NA,2,1.12010152284264
"373",1140,2,NA,NA,1,0.168482490272374
"374",1144,1,NA,NA,1,0.0065989847715736
"375",1145,1,NA,NA,3,0.0106477351972884
"376",1146,1,NA,NA,4,0.818824335263715
"377",1147,1,NA,NA,5,0.0117009426430062
"378",1147,2,NA,NA,1,0.00722057368941642
"379",1148,2,NA,NA,2,0.0144411473788328
"380",1149,2,NA,NA,3,0.00751503006012024
"381",1150,1,NA,NA,3,0.302109461342559
"382",1151,1,NA,NA,13,0.127417532540321
"383",1152,1,NA,NA,12,0.0124756405202339
"384",1153,1,NA,NA,8,0.0266798281264034
"385",1154,1,NA,NA,4,0.0228085931436461
"386",1154,4,NA,NA,1,0.00370741482965932
"387",1155,1,NA,NA,7,0.0180985406404892
"388",1155,4,NA,NA,2,0.00741482965931864
"389",1159,1,NA,NA,2,0.00715667311411992
"390",1160,1,NA,NA,1,0.00357833655705996
"391",1161,1,NA,NA,2,0.0121878121878122
"392",1162,1,NA,NA,4,0.0750930625570395
"393",1166,1,NA,NA,3,0.0334649555774926
"394",1171,1,NA,NA,2,0.00971922246220302
"395",1172,1,NA,NA,1,0.00485961123110151
"396",1176,2,NA,NA,1,0.0389012208657048
"397",1177,2,NA,NA,2,0.0778024417314095
"398",1180,2,NA,NA,3,0.111442841287458
"399",1231,3,NA,NA,2,0.0985401459854015
"400",1245,1,NA,NA,3,0.464985486211901
"401",1246,1,NA,NA,1,0.288461538461538
"402",1272,1,NA,NA,2,0.510769230769231
"403",1279,1,NA,NA,1,0.445512367491166
"404",1280,1,NA,NA,1,0.445512367491166
"405",1282,1,NA,NA,2,0.871612903225806
"406",1283,1,NA,NA,3,0.457839328042873
"407",1289,1,NA,NA,4,0.773615290808599
"408",1291,6,NA,NA,2,0.00332963374028857
"409",1292,1,NA,NA,5,0.481758275813495
"410",1304,3,NA,NA,2,0.0146953405017921
"411",1304,5,NA,NA,2,1.25301587301587
"412",1305,1,NA,NA,2,0.0134715025906736
"413",1305,5,NA,NA,1,0.626507936507936
"414",1306,1,NA,NA,2,0.15531914893617
"415",1314,1,NA,NA,2,0.609865470852018
"416",1324,1,NA,NA,2,0.677272727272727
"417",1324,5,NA,NA,1,0.207316176470588
"418",1325,1,NA,NA,4,0.309762237762238
"419",1325,5,NA,NA,2,0.414632352941176
"420",1326,1,NA,NA,2,0.366812227074236
"421",1326,4,NA,NA,1,0.222824858757062
"422",1327,4,NA,NA,1,0.222824858757062
"423",1328,1,NA,NA,14,0.360760481864624
"424",1328,2,NA,NA,4,0.375500766780701
"425",1329,1,NA,NA,6,0.628284095131921
"426",1330,2,NA,NA,2,0.328571428571429
"427",1331,1,NA,NA,2,0.203168269230769
"428",1332,1,NA,NA,6,0.313640456823344
"429",1332,3,NA,NA,2,0.391582278481013
"430",1333,3,NA,NA,1,0.195791139240506
"431",1336,1,NA,NA,2,0.457407407407407
"432",1337,1,NA,NA,2,0.10703125
"433",1338,1,NA,NA,2,0.476190476190476
"434",1340,1,NA,NA,2,0.394594594594595
"435",1341,1,NA,NA,1,0.0170454545454545
"436",1342,1,NA,NA,1,0.0170454545454545
"437",1343,1,NA,NA,2,0.403033707865169
"438",1344,1,NA,NA,2,0.553795620437956
"439",1346,2,NA,NA,1,0.619195046439629
"440",1347,2,NA,NA,2,1.23839009287926
"441",1351,3,NA,NA,2,0.577546012269939
"442",1353,1,NA,NA,3,0.833333333333333
"443",1353,2,NA,NA,1,0.192176870748299
"444",1354,1,NA,NA,2,0.895654596100279
"445",1358,1,NA,NA,2,0.882168674698795
"446",1359,1,NA,NA,1,0.441084337349398
"447",1360,1,NA,NA,1,0.279603399433428
"448",1361,1,NA,NA,1,0.279603399433428
"449",1362,1,NA,NA,2,0.481241379310345
"450",1367,1,NA,NA,2,1.41456953642384
"451",1368,1,NA,NA,2,0.485777777777778
"452",1369,1,NA,NA,3,0.41805461393597
"453",1370,2,NA,NA,3,0.0206567796610169
"454",1373,1,NA,NA,2,0.0126951092611863
"455",1374,1,NA,NA,3,0.336931739098736
"456",1374,2,NA,NA,2,0.336964980544747
"457",1375,1,NA,NA,2,1.12010152284264
"458",1375,2,NA,NA,1,0.168482490272374
"459",1376,1,NA,NA,1,0.56005076142132
"460",1379,1,NA,NA,3,0.0102731061773244
"461",1380,1,NA,NA,3,0.0106477351972884
"462",1381,1,NA,NA,2,0.215247211099146
"463",1382,1,NA,NA,7,0.307639033403788
"464",1382,2,NA,NA,1,0.00722057368941642
"465",1383,1,NA,NA,1,0.00457317073170732
"466",1383,2,NA,NA,3,0.00847307869943646
"467",1384,2,NA,NA,2,0.00501002004008016
"468",1385,1,NA,NA,2,0.153299937533035
"469",1386,1,NA,NA,11,0.0598371052325004
"470",1387,1,NA,NA,14,0.077681062865517
"471",1388,1,NA,NA,8,0.0263564445751254
"472",1389,1,NA,NA,6,0.0127381816506245
"473",1389,4,NA,NA,1,0.00370741482965932
"474",1390,1,NA,NA,5,0.0198051084611154
"475",1390,4,NA,NA,2,0.00741482965931864
"476",1394,1,NA,NA,2,0.00715667311411992
"477",1395,1,NA,NA,1,0.00357833655705996
"478",1396,1,NA,NA,2,0.0121878121878122
"479",1397,1,NA,NA,4,0.0750930625570395
"480",1401,1,NA,NA,3,0.0334649555774926
"481",1406,1,NA,NA,2,0.00971922246220302
"482",1407,1,NA,NA,1,0.00485961123110151
"483",1411,2,NA,NA,1,0.0389012208657048
"484",1412,2,NA,NA,2,0.0778024417314095
"485",1414,2,NA,NA,1,0.0371476137624861
"486",1415,2,NA,NA,2,0.0742952275249723
"487",1468,3,NA,NA,3,0.147810218978102
"488",1482,1,NA,NA,4,0.609216255442671
"489",1508,1,NA,NA,2,0.510769230769231
"490",1516,1,NA,NA,3,1.3365371024735
"491",1519,1,NA,NA,4,0.675742553849325
"492",1520,1,NA,NA,1,0.435806451612903
"493",1525,1,NA,NA,4,0.773615290808599
"494",1527,6,NA,NA,2,0.00332963374028857
"495",1528,1,NA,NA,2,0.770742358078603
"496",1529,1,NA,NA,2,0.128516129032258
"497",1539,5,NA,NA,1,0.626507936507936
"498",1540,3,NA,NA,2,0.0146953405017921
"499",1540,5,NA,NA,1,0.626507936507936
"500",1541,1,NA,NA,2,0.0134715025906736
"501",1542,1,NA,NA,1,0.0776595744680851
"502",1543,1,NA,NA,1,0.0776595744680851
"503",1550,1,NA,NA,2,0.609865470852018
"504",1559,1,NA,NA,2,0.677272727272727
"505",1560,1,NA,NA,3,0.30708041958042
"506",1560,5,NA,NA,2,0.414632352941176
"507",1561,1,NA,NA,6,0.533109170305677
"508",1562,4,NA,NA,2,0.445649717514124
"509",1563,1,NA,NA,7,0.247569486897996
"510",1563,2,NA,NA,1,0.167755102040816
"511",1564,1,NA,NA,11,0.334971999838609
"512",1564,2,NA,NA,3,0.291623215760293
"513",1565,1,NA,NA,4,0.352815599433246
"514",1565,2,NA,NA,2,0.328571428571429
"515",1567,1,NA,NA,4,0.372287371134021
"516",1568,1,NA,NA,7,0.511407178828873
"517",1569,3,NA,NA,2,0.391582278481013
"518",1572,1,NA,NA,2,0.457407407407407
"519",1573,1,NA,NA,3,0.172563244047619
"520",1574,1,NA,NA,1,0.238095238095238
"521",1575,1,NA,NA,2,0.394594594594595
"522",1576,1,NA,NA,1,0.197297297297297
"523",1577,1,NA,NA,3,0.0511363636363636
"524",1579,1,NA,NA,2,0.403033707865169
"525",1580,1,NA,NA,2,0.553795620437956
"526",1582,2,NA,NA,2,1.23839009287926
"527",1586,2,NA,NA,1,0.677272727272727
"528",1587,2,NA,NA,2,1.35454545454545
"529",1587,3,NA,NA,2,0.577546012269939
"530",1588,1,NA,NA,1,0.277777777777778
"531",1588,2,NA,NA,2,1.35454545454545
"532",1589,1,NA,NA,1,0.277777777777778
"533",1589,2,NA,NA,4,0.869449598021027
"534",1590,1,NA,NA,2,0.895654596100279
"535",1590,2,NA,NA,1,0.677272727272727
"536",1591,2,NA,NA,2,1.35454545454545
"537",1592,2,NA,NA,2,1.35454545454545
"538",1594,1,NA,NA,2,0.882168674698795
"539",1595,1,NA,NA,1,0.279603399433428
"540",1596,1,NA,NA,2,0.559206798866856
"541",1598,1,NA,NA,2,0.481241379310345
"542",1603,1,NA,NA,4,0.950173657100809
"543",1604,1,NA,NA,4,0.566359698681733
"544",1605,2,NA,NA,3,0.0206567796610169
"545",1608,1,NA,NA,2,0.0126951092611863
"546",1609,1,NA,NA,1,0.00634755463059313
"547",1609,2,NA,NA,1,0.168482490272374
"548",1610,1,NA,NA,2,0.667515923566879
"549",1610,2,NA,NA,1,0.168482490272374
"550",1611,1,NA,NA,2,1.12010152284264
"551",1614,1,NA,NA,3,0.0102731061773244
"552",1615,1,NA,NA,3,0.0106477351972884
"553",1616,1,NA,NA,1,0.00475184794086589
"554",1617,1,NA,NA,8,0.414074676968144
"555",1618,1,NA,NA,1,0.00457317073170732
"556",1618,2,NA,NA,3,0.00847307869943646
"557",1619,2,NA,NA,2,0.00501002004008016
"558",1620,1,NA,NA,1,0.00898082744702321
"559",1621,1,NA,NA,14,0.105118164380194
"560",1622,1,NA,NA,12,0.0125638941861945
"561",1623,1,NA,NA,9,0.0988542469150914
"562",1624,1,NA,NA,7,0.0217074443487498
"563",1624,4,NA,NA,2,0.00741482965931864
"564",1625,1,NA,NA,5,0.0198051084611154
"565",1625,4,NA,NA,1,0.00370741482965932
"566",1629,1,NA,NA,2,0.00715667311411992
"567",1630,1,NA,NA,1,0.00357833655705996
"568",1631,1,NA,NA,2,0.0121878121878122
"569",1632,1,NA,NA,3,0.051077692720344
"570",1636,1,NA,NA,3,0.0334649555774926
"571",1641,1,NA,NA,2,0.00971922246220302
"572",1642,1,NA,NA,1,0.00485961123110151
"573",1647,2,NA,NA,2,0.0778024417314095
"574",1650,2,NA,NA,2,0.0742952275249723
"575",1652,1,NA,NA,2,0.0992666666666667
"576",1704,3,NA,NA,1,0.0492700729927007
"577",1705,3,NA,NA,1,0.0492700729927007
"578",1718,1,NA,NA,3,0.448838896952104
"579",1719,1,NA,NA,3,0.464985486211901
"580",1744,1,NA,NA,1,0.255384615384615
"581",1745,1,NA,NA,1,0.255384615384615
"582",1753,1,NA,NA,3,1.3365371024735
"583",1756,1,NA,NA,4,0.675742553849325
"584",1761,1,NA,NA,4,0.773615290808599
"585",1763,6,NA,NA,2,0.00332963374028857
"586",1764,1,NA,NA,2,0.770742358078603
"587",1765,1,NA,NA,2,0.128516129032258
